id,latitude,longitude,elevation,thickness,published age,published age uncertainty,density,nuclide,source,cosmogenic inventory,cosmogenic inventory uncertainty,shielding factor
AT-1,57.5001,8.66,605,7,14400,1300,2.65,10Be,587,1.16,0.08,1
AT-3,57.4957,8.66,600,16,14700,1300,2.65,10Be,587,1.15,0.07,1
AT-4,57.4954,8.66,600,5,13900,1300,2.65,10Be,587,1.12,0.08,1
AT-5,57.495,8.66,810,16,49400,4700,2.65,10Be,587,4.63,0.34,1
AT-6,57.4945,8.66,800,9,31200,2900,2.65,10Be,587,2.96,0.21,1
AT-7,57.4941,8.66,760,7,59000,5200,2.65,10Be,587,5.41,0.34,1
AT-8,57.4941,8.66,760,4,54400,4800,2.65,10Be,587,5.03,0.32,1
AT-9,57.4908,8.66,930,13,22600,2400,2.65,10Be,587,2.37,0.2,1
