"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,1.53,4.2,1.0,11.0,16.0,1033.8,0.42,2.85,4.14,504.0,3.0,3.17,29.0,37.307,8.2,1990.0,66.4,2.8,4.3,0.07,23.31,0.0,BPCR91-3,83.0,0.06,0.005,241.47,3.48,4.3,4.03,6.93
36Cl,0.39,0.5,0.99,11.0,11.76,1033.8,0.08,2.85,0.72,2940.0,3.0,4.16,261.0,37.304,6.6,1950.0,76.16,2.8,3.9,0.03,23.31,0.0,BPCR90-22,9.0,0.02,0.005,241.47,2.95,3.9,1.13,6.93
36Cl,1.3,1.5,0.99,11.0,12.5,1033.8,0.2,2.85,2.06,781.0,3.0,6.02,53.0,37.304,6.6,1950.0,74.17,2.8,3.9,0.04,23.31,0.0,BPCR90-23,30.0,0.05,0.005,241.47,2.06,3.9,1.35,6.93
36Cl,0.92,5.9,0.99,11.0,14.83,1033.8,0.27,2.85,2.37,373.0,3.0,3.69,17.0,37.304,6.6,1950.0,71.61,2.8,3.9,0.05,23.31,0.0,BPCR90-24,117.0,0.05,0.005,241.47,4.04,3.9,2.02,6.93
36Cl,1.66,0.7,0.99,4.0,12.49,1033.8,0.13,2.85,0.92,1965.0,3.0,4.43,233.0,37.303,10.0,1960.0,79.29,1.0,6.0,0.04,23.31,0.0,BPCR90-25,14.0,0.06,0.001,241.47,3.12,5.0,0.68,6.93
36Cl,2.13,0.4,0.99,11.0,13.9,1033.8,0.22,2.85,2.41,2700.0,3.0,3.6,372.0,37.303,6.6,1960.0,73.2,2.8,3.9,0.04,23.31,0.0,BPCR90-26,8.0,0.08,0.005,241.47,3.75,3.9,0.39,6.93
36Cl,0.25,1.4,0.97,4.4,13.97,1033.8,0.15,2.65,1.19,1262.9,1.5,4.82,47.051,37.296,8.5,2012.0,74.31,4.1,3.0,0.04,23.31,0.0,BpCr96-20,28.5,0.02,0.005,241.46,3.68,3.0,1.27,6.93
36Cl,1.22,2.0,0.9207,4.4,15.34,1033.8,0.44,2.75,3.32,688.67,1.0,2.95,76.33,37.215,9.5,2091.0,68.7,4.1,4.0,0.06,23.31,0.0,BpCr96-18,40.9,0.02,0.005,241.39,3.79,4.0,3.54,6.93
36Cl,1.79,4.4,0.98594,5.0,16.04,1033.8,0.47,2.7,4.48,474.82,4.0,3.08,22.182,37.0,17.0,2481.0,65.76,2.0,3.5,0.08,23.31,0.0,BpCR97-8,88.0,0.04,0.023,242.0,3.44,3.5,4.13,6.93
36Cl,0.43,3.6,0.9108,0.5,13.75,1033.8,0.24,2.65,2.13,571.36,3.0,3.94,26.64,37.255,10.5,2450.0,73.57,1.0,2.0,0.04,23.31,0.0,BpCR97-9,72.7,0.01,0.023,241.43,3.54,2.0,1.73,6.93
36Cl,1.76,4.2,0.96817,5.0,15.24,1033.8,0.47,2.65,4.68,540.28,2.0,3.15,23.723,37.255,19.0,2414.0,66.98,3.0,3.0,0.08,23.31,0.0,BpCR97-13,83.0,0.06,0.005,241.42,3.21,3.0,3.97,6.93
36Cl,2.23,6.1,0.97128,1.0,16.21,1033.8,0.58,2.65,5.5,419.11,1.0,2.95,19.886,37.254,15.5,2481.0,63.99,2.0,3.5,0.09,23.31,0.0,BpCR97-14,121.1,0.03,0.005,241.43,3.43,3.5,4.62,6.93
36Cl,1.73,4.9,0.96644,3.0,16.08,1033.8,0.48,2.75,4.64,464.54,1.5,2.94,21.456,37.257,9.5,2383.0,65.67,3.0,3.0,0.08,23.31,0.0,BpCR97-15,97.5,0.04,0.005,241.42,3.44,3.0,4.41,6.93
36Cl,0.75,3.0,0.986,11.0,13.8,1033.8,0.66,2.85,4.24,937.0,3.0,3.84,36.0,37.251,9.6,2460.0,70.6,2.8,6.0,0.07,23.31,0.0,BPCR91-11(1),59.0,0.03,0.005,241.42,3.74,6.0,2.03,6.93
36Cl,0.75,3.0,0.986,11.0,13.8,1033.8,0.66,2.85,4.24,966.0,3.0,3.84,40.0,37.251,9.6,2460.0,70.6,2.8,6.0,0.07,23.31,0.0,BPCR91-11(2),59.0,0.03,0.005,241.42,3.74,6.0,2.03,6.93
36Cl,0.174,2.3,0.874,7.1,11.55,1033.8,0.1355,2.65,0.926,897.0,1.5,4.545,41.0,37.25,6.6,2755.0,76.781,2.1,3.9,0.03,23.31,0.0,BpCr95B-6(99),45.4,0.026,0.005,241.41,2.891,3.9,0.7425,6.93
36Cl,1.94,6.5,0.95776,7.8,15.994,1033.8,0.523,2.7,4.8475,433.5,2.0,3.4345,14.497,37.212,14.5,2688.0,65.204,4.6,6.5,0.0805,23.31,0.0,BPCR96-1,130.5,0.0225,0.005,241.4,3.285,6.5,4.23,6.93
36Cl,1.08,1.5,0.7912,4.4,15.42,1033.8,0.3,2.7,3.13,1368.6,2.0,3.86,86.425,37.215,11.0,2786.0,68.8,4.1,3.0,0.05,23.31,0.0,BpCr96-16,29.2,0.02,0.005,241.39,3.33,3.0,3.04,6.93
36Cl,1.26,2.7,0.83284,4.4,15.45,1033.8,0.47,2.7,3.48,702.68,4.0,3.03,24.318,37.215,9.0,2786.0,68.14,4.1,4.5,0.06,23.31,0.0,BpCr96-17,54.7,0.02,0.005,241.39,3.76,4.5,3.61,6.93
36Cl,1.422,2.9,0.8554,10.1,14.986,1033.8,0.406,2.7,3.655,826.0,2.0,3.077,30.0,37.17,7.2,3011.0,65.71,3.9,4.3,0.065,23.31,0.0,BpCr95-3 (99),58.0,0.063,0.005,241.43,3.215,4.3,3.701,6.93
36Cl,2.28,5.1,0.8463,8.0,17.451,1033.8,0.818,2.8,5.254,606.47,3.0,1.872,21.526,37.188,16.5,3163.0,61.523,3.3,4.0,0.082,23.31,0.0,BPCR96-10,101.6,0.052,0.005,241.38,4.31,4.0,4.982,6.93
36Cl,1.8,4.0,0.9024,7.4,15.661,1033.8,0.506,2.9,4.619,703.0,2.0,3.084,22.0,37.188,14.5,3163.0,65.491,4.1,2.5,0.078,23.31,0.0,BPCR96-11,80.3,0.033,0.005,241.38,3.43,2.5,3.978,6.93
36Cl,1.022,1.9,0.9312,7.4,14.486,1033.8,0.3005,2.65,2.742,1337.0,2.5,3.4505,56.0,37.23,6.6,3047.0,67.733,3.7,3.9,0.0515,23.31,0.0,BpCr95B-1(99),37.5,0.0565,0.005,241.39,3.191,3.9,3.0165,6.93
36Cl,0.71,1.0,0.82984,4.0,14.04,1033.8,0.26,2.65,2.14,2566.3,4.0,4.15,104.71,37.0,12.0,3273.0,72.23,2.0,3.5,0.05,23.31,0.0,BpCR97-3,20.9,0.03,0.023,242.0,3.31,3.5,2.32,6.93
36Cl,1.34,3.8,0.7553,10.0,16.85,1033.8,0.35,2.65,3.52,865.93,4.0,3.16,32.072,37.0,14.0,3273.0,66.27,2.0,4.0,0.06,23.31,0.0,BpCR97-4,76.7,0.04,0.023,242.0,3.7,4.0,4.29,6.93
36Cl,0.61,1.1,0.6404,11.0,13.97,1033.8,0.22,2.65,2.26,1553.6,4.0,3.92,75.36,37.235,9.5,3340.0,72.56,3.0,4.0,0.04,23.31,0.0,BpCR97-2,22.4,0.02,0.005,241.33,3.34,4.0,2.33,6.93
36Cl,0.96,1.2,0.87774,4.0,14.56,1033.8,0.31,2.65,2.93,2285.3,1.0,3.8,104.71,37.235,12.2,3340.0,70.36,3.0,5.0,0.06,23.31,0.0,BpCR97-1a,24.3,0.02,0.005,241.33,3.34,5.0,2.77,6.93
36Cl,0.85,1.0,0.85239,5.0,14.57,1033.8,0.33,2.65,2.73,2685.5,3.5,3.89,110.45,37.235,10.5,3340.0,70.64,3.0,2.0,0.05,23.31,0.0,BpCR97-1b,20.1,0.02,0.005,241.33,3.38,2.0,2.79,6.93
36Cl,0.76,0.9,0.77074,4.4,13.94,1033.8,0.24,2.7,2.48,2994.3,2.5,4.38,122.73,37.24,10.0,3487.0,71.47,4.1,3.5,0.04,23.31,0.0,BpCr96-21,18.1,0.02,0.005,241.32,3.13,3.5,2.21,6.93
36Cl,0.54,0.6,0.9506,2.0,16.1,1033.8,0.23,2.65,1.83,5614.0,2.5,4.46,533.05,37.239,8.5,3486.0,67.58,2.0,2.5,0.03,23.31,0.0,BpCr96-22,11.3,0.01,0.005,241.32,3.65,2.5,2.48,6.93
36Cl,0.5665,0.8,0.66171,4.4,13.58,1033.8,0.216,2.6,1.961,2586.0,4.0,3.4575,88.0,37.15,6.6,3502.0,72.425,4.1,3.9,0.0445,23.31,0.0,BpCr95-2 (99),16.3,0.0205,0.005,241.43,3.609,3.9,2.0505,6.93
36Cl,1.06,0.8,0.92753,0.5,15.85,1033.8,0.33,2.75,2.85,3737.0,2.0,3.51,165.02,37.269,21.5,3480.0,68.43,7.0,2.0,0.05,23.31,0.0,HB97-1,15.3,0.02,0.005,241.29,3.55,2.0,3.42,6.93
36Cl,1.06,0.3,0.93043,0.5,15.71,1033.8,0.3,2.75,2.72,8736.9,1.5,4.01,337.13,37.268,16.0,3486.0,68.87,12.0,2.0,0.06,23.31,0.0,HB97-2,6.8,0.02,0.005,241.29,4.2,2.0,1.77,6.93
36Cl,1.16,1.0,0.93659,3.0,15.54,1033.8,0.32,2.75,3.05,2892.5,2.0,3.44,84.509,37.268,10.0,3486.0,69.29,3.0,3.5,0.06,23.31,0.0,HB97-3,20.8,0.02,0.005,241.29,3.49,3.5,3.43,6.93
36Cl,0.46,5.0,0.87966,10.0,14.34,1033.8,0.18,2.75,1.72,1055.0,1.5,5.52,34.988,37.269,12.5,3636.0,72.39,2.0,3.0,0.03,23.31,0.0,HB97-4,99.1,0.06,0.005,241.3,2.43,3.0,1.82,6.93
36Cl,0.99,1.5,0.83674,1.0,15.26,1033.8,0.31,2.75,2.61,2135.3,1.5,3.65,80.714,37.263,13.5,3596.0,69.33,2.0,3.5,0.06,23.31,0.0,HB97-5,30.6,0.02,0.005,241.32,3.42,3.5,3.08,6.93
36Cl,1.42,7.5,0.9024,0.5,16.29,1033.8,0.46,2.7,3.9,477.32,5.0,3.22,22.682,37.176,11.5,3304.0,66.37,0.5,2.5,0.06,23.31,0.0,BpCR97-10,150.3,0.03,0.023,241.37,3.81,2.5,3.84,6.93
36Cl,1.85,4.1,0.82829,1.0,15.7,1033.8,0.51,2.7,4.65,711.44,3.0,2.94,34.565,37.176,13.5,3304.0,65.99,9.0,4.0,0.08,23.31,0.0,BpCR97-11,81.7,0.03,0.01,241.37,3.28,4.0,4.1,6.93
36Cl,0.74,0.8,0.91547,0.5,16.38,1033.8,0.29,2.65,2.64,2593.6,1.0,3.21,109.38,37.139,10.5,3413.0,68.19,2.0,3.0,0.04,23.31,0.0,BpCR97-12,16.4,0.02,0.005,241.42,5.05,3.0,2.26,6.93
36Cl,1.43,3.5,0.8545,4.0,15.665,1033.8,0.5135,2.7,3.824,621.06,2.5,3.1265,24.937,37.168,11.5,3359.0,66.975,2.8,3.5,0.063,23.31,0.0,BPCR96-2,69.3,0.0195,0.005,241.38,3.545,3.5,3.751,6.93
36Cl,1.325,3.2,0.95999,7.2,15.087,1033.8,0.3625,2.7,3.4055,736.85,2.5,3.626,28.151,37.168,12.0,3371.0,67.844,2.3,4.5,0.0595,23.31,0.0,BPCR96-3,63.2,0.0185,0.005,241.38,3.13,4.5,3.322,6.93
36Cl,1.88,9.2,0.80652,2.7,16.709,1033.8,0.5575,2.8,5.017,381.09,5.0,2.5355,10.911,37.168,17.0,3371.0,63.658,2.3,3.5,0.0735,23.31,0.0,BPCR96-4,183.0,0.0275,0.005,241.38,3.775,3.5,4.817,6.93
36Cl,1.855,6.5,0.75053,7.9,15.45,1033.8,0.572,2.8,5.1085,807.58,2.5,3.8515,15.417,37.168,9.0,3371.0,65.862,3.2,4.0,0.075,23.31,0.0,BPCR96-5,130.5,0.0185,0.005,241.38,3.1,4.0,3.7315,6.93
36Cl,1.415,4.4,0.75793,9.9,15.877,1033.8,0.401,2.75,3.843,678.54,1.0,3.2065,25.456,37.166,11.0,3560.0,66.281,3.5,4.5,0.0615,23.31,0.0,BPCR96-9,87.7,0.029,0.005,241.38,3.48,4.5,3.933,6.93
36Cl,1.64,5.8,0.71851,13.4,15.847,1033.8,0.44,2.75,4.31,522.92,2.0,3.0305,14.083,37.157,17.0,3510.0,66.054,2.5,4.5,0.0725,23.31,0.0,BPCR96-6,115.8,0.025,0.005,241.39,3.46,4.5,4.104,6.93
36Cl,1.17,2.2,0.74762,1.0,16.57,1033.8,0.306,2.75,3.28,1235.0,2.0,3.979,26.999,37.157,8.0,3510.0,65.367,1.8,2.0,0.054,23.31,0.0,BPCR96-7,43.3,0.022,0.005,241.39,3.75,2.0,3.453,6.93
36Cl,1.45,1.8,0.71253,4.4,15.668,1033.8,0.431,2.7,3.943,373.0,4.0,3.538,14.0,37.151,15.5,3560.0,66.177,2.4,4.5,0.068,23.31,0.0,BPCR96-8,36.1,0.0205,0.005,241.38,3.98,4.5,2.7795,6.93
