"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,6.88,0.2,1.0,1.9,16.57,1033.8,1.602,3.0,10.93,283.5,3.0,0.79,21.9,38.93,4.5,1458.0,48.8,0.6,4.9,0.181,20.99,0.0,05TAB01-US,99.6,0.34,0.005,247.48,2.91,5.1,9.18,7.0
36Cl,7.3,0.5,1.0,2.5,16.57,1033.8,1.575,3.0,12.63,230.1,3.0,0.89,19.8,38.93,8.8,1458.0,48.39,0.6,5.6,0.188,20.99,0.0,05TAB02-US,110.2,0.43,0.005,247.48,2.88,5.9,9.54,7.0
36Cl,6.99,0.4,1.0,2.3,15.95,1033.8,1.463,3.0,10.9,188.9,3.0,0.96,10.6,38.93,9.6,1461.0,48.25,0.8,5.2,0.175,20.99,0.0,05TAB03-US,123.8,0.38,0.005,247.48,2.81,5.4,9.39,7.0
36Cl,7.14,1.3,1.0,2.1,16.59,1033.8,1.505,3.0,12.25,290.7,3.0,0.76,22.6,38.941,5.1,1458.0,47.67,0.6,5.4,0.179,20.99,0.0,05TAB04-US,95.3,0.43,0.005,247.48,2.77,5.6,9.41,7.0
36Cl,7.26,0.5,1.0,2.3,16.18,1033.8,1.481,3.0,11.3,288.7,3.0,0.73,35.2,38.93,7.2,1455.0,48.68,0.7,5.0,0.179,20.99,0.0,05TAB05-US,94.8,0.38,0.005,247.48,2.65,5.5,9.3,7.0
36Cl,6.75,1.9,1.0,2.6,15.32,1033.8,1.415,3.0,10.86,350.6,3.0,0.8,69.5,38.93,4.8,1457.0,48.4,1.0,5.0,0.169,20.99,0.0,05TAB06-US,98.5,0.38,0.005,247.48,2.6,5.3,10.12,7.0
36Cl,7.06,1.3,1.0,2.2,15.57,1033.8,1.469,3.0,10.22,222.0,3.0,0.9,19.4,38.93,9.9,1457.0,47.7,0.9,5.1,0.173,20.99,0.0,05TAB07-US,123.0,0.35,0.005,247.48,2.77,5.5,9.54,7.0
