age,intensity
395000,0.633746
396000,0.655047
397000,0.687011
398000,0.719767
399000,0.77406
400000,0.749097
401000,0.830468
402000,0.830703
403000,0.86383
404000,0.876188
405000,0.80052
406000,0.783412
407000,0.871759
408000,0.86044
409000,0.879713
410000,0.915908
411000,0.936727
412000,0.988063
413000,1.03814
414000,1.04148
415000,1.08127
416000,1.10956
417000,1.06573
418000,1.06152
419000,0.976769
420000,1.0413
421000,1.05349
422000,0.972514
423000,0.997885
424000,1.01775
425000,1.00753
426000,0.964955
427000,0.978624
428000,0.889881
429000,0.851658
430000,0.815092
431000,0.894149
432000,0.858597
433000,0.82281
434000,0.910663
435000,0.946042
436000,0.934735
437000,0.903402
438000,0.917566
439000,0.890228
440000,0.896165
441000,0.84478
442000,0.866304
443000,0.787345
444000,0.75616
445000,0.691329
446000,0.720336
447000,0.669384
448000,0.622551
449000,0.600841
450000,0.605134
451000,0.589869
452000,0.628117
453000,0.677276
454000,0.735737
455000,0.780554
456000,0.806173
457000,0.777808
458000,0.823961
459000,0.831012
460000,0.791972
461000,0.776348
462000,0.803427
463000,0.838582
464000,0.897365
465000,0.92782
466000,0.909476
467000,0.902783
468000,0.911714
469000,0.856556
470000,0.835849
471000,0.795522
472000,0.800334
473000,0.805888
474000,0.81973
475000,0.838694
476000,0.854626
477000,0.855418
478000,0.872068
479000,0.853191
480000,0.810119
481000,0.809599
482000,0.775742
483000,0.721722
484000,0.721895
485000,0.700198
486000,0.681964
487000,0.660007
488000,0.72359
489000,0.690945
490000,0.61764
491000,0.630579
492000,0.58163
493000,0.624381
494000,0.612531
495000,0.613743
496000,0.636764
497000,0.622922
498000,0.623775
499000,0.626373
500000,0.625062
501000,0.641254
502000,0.681061
503000,0.688916
504000,0.697588
505000,0.699703
506000,0.717578
507000,0.742256
508000,0.767986
509000,0.795448
510000,0.795262
511000,0.790153
512000,0.746116
513000,0.763731
514000,0.769706
515000,0.71952
516000,0.728451
517000,0.746264
518000,0.734673
519000,0.749864
520000,0.728464
521000,0.673577
522000,0.612345
523000,0.574221
524000,0.556618
525000,0.554837
526000,0.549381
527000,0.496586
528000,0.457113
529000,0.453365
530000,0.437494
531000,0.412853
532000,0.395077
533000,0.392652
534000,0.417887
535000,0.429391
536000,0.468357
537000,0.462642
538000,0.471239
539000,0.459067
540000,0.450371
541000,0.474431
542000,0.480208
543000,0.499876
544000,0.545745
545000,0.542256
546000,0.501212
547000,0.50861
548000,0.478006
549000,0.451596
550000,0.43069
551000,0.390141
552000,0.38737
553000,0.410688
554000,0.41952
555000,0.431791
556000,0.455628
557000,0.482608
558000,0.509377
559000,0.534587
560000,0.598367
561000,0.532422
562000,0.525705
563000,0.551002
564000,0.586813
565000,0.658016
566000,0.64854
567000,0.614671
568000,0.609958
569000,0.63241
570000,0.62975
571000,0.653847
572000,0.672773
573000,0.676175
574000,0.701262
575000,0.722588
576000,0.718258
577000,0.709711
578000,0.707434
579000,0.695349
580000,0.663409
581000,0.62333
582000,0.565648
583000,0.559364
584000,0.533511
585000,0.529923
586000,0.5036
587000,0.456643
588000,0.428785
589000,0.438483
590000,0.448701
591000,0.467417
592000,0.496759
593000,0.567677
594000,0.60877
595000,0.640079
596000,0.645299
597000,0.661591
598000,0.682546
599000,0.742133
600000,0.803637
601000,0.831766
602000,0.866279
603000,0.882088
